,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: National Accounts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Gross Domestic Product (GDP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Key Data Of Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2020), Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 02/01/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2025 4Q ,2025 3Q ,2025 2Q ,2025 1Q ,2024 4Q ,2024 3Q ,2024 2Q ,2024 1Q ,2023 4Q ,2023 3Q ,2023 2Q ,2023 1Q ,2022 4Q ,2022 3Q ,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q ,1994 4Q ,1994 3Q ,1994 2Q ,1994 1Q ,1993 4Q ,1993 3Q ,1993 2Q ,1993 1Q ,1992 4Q ,1992 3Q ,1992 2Q ,1992 1Q ,1991 4Q ,1991 3Q ,1991 2Q ,1991 1Q ,1990 4Q ,1990 3Q ,1990 2Q ,1990 1Q ,1989 4Q ,1989 3Q ,1989 2Q ,1989 1Q ,1988 4Q ,1988 3Q ,1988 2Q ,1988 1Q ,1987 4Q ,1987 3Q ,1987 2Q ,1987 1Q ,1986 4Q ,1986 3Q ,1986 2Q ,1986 1Q ,1985 4Q ,1985 3Q ,1985 2Q ,1985 1Q ,1984 4Q ,1984 3Q ,1984 2Q ,1984 1Q ,1983 4Q ,1983 3Q ,1983 2Q ,1983 1Q ,1982 4Q ,1982 3Q ,1982 2Q ,1982 1Q ,1981 4Q ,1981 3Q ,1981 2Q ,1981 1Q ,1980 4Q ,1980 3Q ,1980 2Q ,1980 1Q ,1979 4Q ,1979 3Q ,1979 2Q ,1979 1Q ,1978 4Q ,1978 3Q ,1978 2Q ,1978 1Q ,1977 4Q ,1977 3Q ,1977 2Q ,1977 1Q ,1976 4Q ,1976 3Q ,1976 2Q ,1976 1Q ,1975 4Q ,1975 3Q ,1975 2Q ,1975 1Q 
GDP In Chained (2015) Dollars,154778,148508.3,144233.3,141149.1,146375.8,142350.4,137603.1,135612.1,139345.6,134613.1,133017.3,131343.8,135140.6,132091.7,131362.3,130095.6,131542.9,126391.3,125213.9,124680.5,121940.2,115450.2,105851.5,119443.4,122407.5,120494.4,120168.5,117965,120492,119638.5,118541.5,116152.5,118665.1,116062.4,113218.7,111034.4,113619,110305.4,109250.6,106138,108238.9,106783.3,105849.7,102572.2,105931.8,103017.9,102643,99610.7,101366.2,99385.2,99358.7,95523,96455.2,93656.6,94982.9,92354.3,92084.3,91787.2,89460.8,88086,87464.6,85183.5,86924,80698.6,77216,77238.8,73277.9,69395.7,72296.6,75107.9,74147.7,75196.5,74862.4,75167.4,71768.4,69521.8,70218.4,67735.7,65220,64039.2,64698,62367.3,59959,58110.3,59272.8,57486.8,56432.5,55124,54979.7,53017.6,49717.3,49958.8,50497.4,50336.3,49845.5,47959.6,47604.4,47214,47825.5,48495.8,49955.5,49671.1,47584.6,45997.5,45683.3,45349.6,43975.5,42185,42639.9,41975.6,41711.4,41282,43758.3,44192.3,42743.9,40669,40865,39833.6,39047.4,38460.7,38610.5,38217.2,35948.6,34431.9,35866.6,35306.3,33467.3,32712.4,32896.3,31580.6,30333,28824.6,29142.8,28322.4,27004,26453.9,26814.6,26545.5,25624,25032.5,25173.4,24745.6,24053,23523.7,23293.3,22733.8,22117.2,20632.7,21281,20682.9,19850.3,18775.8,19217.1,18597.5,17723.4,16893.6,17083.4,16567.8,16087.5,15634,16035.8,16106.3,16074.7,16289.7,16662.4,16488.4,16084.5,15675.4,15730.2,15151.3,14649.2,14134.1,14301.1,13957.7,13563.7,13140.5,13526.1,13113.3,12633.1,12045.8,12255.7,11797.3,11334.3,10922.2,11296.8,10692,10274,9793.4,10281.5,9884.6,9280.1,8942.2,9329.6,9081.6,8739.3,8467.8,8700.6,8537,8124.5,7972,8134.6,7960.5,7564.2,7367.3
  Goods Producing Industries,43013.4,39176.2,35571.6,35158,38306.1,37429.7,33882.9,33674.5,35960,34095.4,33656.7,33825,35209.8,35231.2,35772.3,35099,35387.5,34218,33571.7,32829.1,30250.7,30264.8,26873.5,30374,29078.8,29954,29926.8,29014.6,30068.2,30259.8,29937.4,28938.3,29020.5,29366.7,27599.2,26873.9,27799.7,25962.6,26461,25469.2,25934.1,25770.6,26015.5,25264.1,26746.8,26494.2,26395.9,25999,26608.8,25732.5,25694.1,23731,25056.9,24620.7,25446.3,24808.9,24776.3,24461,24117.8,24454.5,22847.1,22671.7,24874.5,21224.6,19207.2,20205.2,18134,16312.9,17981.3,18553.6,17549.8,19378.8,19076.3,19752,17887.4,17338.4,18848.2,17637.7,16506.3,16124.8,17366,15985.5,14867.4,13880.2,15329.8,14353,14190.5,13488.7,13798.7,13229.3,12235,12430.9,12750.3,13004.8,13095.9,12046.2,11994,11857.9,12091.4,12627.7,14304.4,13989.3,12859.5,12151.9,12396.9,12463.3,11763.4,11376,11494.7,11352.7,11228.2,10810.5,11953.9,11812.9,11029.3,9989.7,10888.3,10575.7,10454.8,10169.8,10647.8,10546.5,9611.5,8771.1,9565.9,9485.2,8872.4,8243.2,8439.6,8234.8,7788.2,7187.4,7758.8,7429.3,7038.4,6735.2,7222.4,7087.4,6766.3,6533.8,6830.5,6621.4,6355.3,5946.7,6297.9,6099,5862.8,5381.4,5739.7,5678,5488.3,4983,5241.9,5029.2,4796.5,4367.9,4590.4,4536.5,4508.8,4102.7,4275,4514,4567.5,4714.3,5044.1,5131.4,5086.2,4788.8,4916.5,4698.4,4505,4168.7,4218.4,4224.7,4179.3,3949.3,4179.7,4045.4,3984.4,3578.4,3807.6,3644.9,3586.6,3274.6,3545.1,3310.6,3249.4,2962.1,3220.7,3026,2861.3,2609.1,2887.6,2821.3,2753,2541.9,2703.1,2694.2,2554.3,2414.9,2556.7,2467.8,2222,2089.2
    Manufacturing,35827.8,31886.3,28430.6,28258.5,31154.6,30396.8,27025.3,26989.9,29013.6,27332.2,27192.3,27303.5,28514.1,28729.1,29627.5,28866.9,29284.8,28359.8,27833.5,27217,25237.8,26274,23547.7,24403.5,22649.5,23667.5,23650.6,22529.7,23598.8,23965.8,23764.6,22533.9,22564.9,23163.1,21489.4,20481.6,21335.6,19414,19795.1,18888.4,19089.8,19062.5,19487.7,18958.2,20353.7,20214.3,20359.3,19811,20591.9,19876.5,20083.7,18076.5,19218.8,18888.6,19927.6,19301.1,19261.4,19164.7,19147.1,19516.9,17617,17597,19901.8,16391.2,14017.3,15475.5,13701.8,11948.5,13683.5,14391.2,13777.5,15678.6,15327.4,16160.9,14589.9,13967.6,15521.5,14457.2,13578.5,13121.4,14320.7,13118.1,12131.9,11070.5,12512.8,11544.3,11464.9,10721.6,10946,10394.5,9550.8,9728.2,9910.6,10117,10286.8,9123.4,9000.6,8744.7,9059.8,9553.6,11058.2,10827.2,9958.3,9288.4,9323.7,9395.9,8777.3,8224.7,8211.3,7990.6,7908.7,7492.6,8471.1,8361,7943.6,7059.5,7809.6,7636.3,7629.7,7447.5,7931.8,7967.6,7244.8,6556.3,7116.8,7095.8,6713.7,6064.4,6341.2,6237.2,5950.2,5421.9,5852.7,5639.8,5328.8,5018.2,5469.6,5475.2,5328.9,5075.7,5361.5,5272,5014.7,4599.3,4947.7,4795,4624.1,4124.7,4484.4,4387.5,4214.8,3754.2,3984.5,3699.7,3457.3,3090.6,3302.8,3187.7,2987.6,2639.1,2716.4,2821.5,2846.3,2793.8,3027.8,3082.9,3071.2,2876.3,2969.3,2889.1,2755.1,2603.5,2639.1,2743.4,2819.4,2709.7,2909,2910,2909.3,2579.2,2758.8,2650.3,2593.5,2342.8,2576.1,2398.3,2325.3,2105.2,2304.6,2168.4,2003.9,1787.3,1989.8,1902,1848.7,1683.2,1816.2,1766.1,1639.4,1569.2,1679.2,1627.7,1417.9,1353
